id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
1253,6.708459858,0.620386128,11.96204346,529.0834668,17.13476781,98.26702816,760.3297184,71,0.914676837,3.062412108,34.79448219,10.53819092,17.73507567,0.93599134,0.641483733,10,1,2
1254,6.719342123,1.278092288,11.36005666,527.0408215,18.0065155,89.47891882,468.026368,114,2.871713921,2.351973632,20.90433617,11.38394859,15.82097822,1.268159531,0.898158208,13,1,2
1255,6.246995306,0.878226231,16.01172388,521.7436618,12.08546802,95.59063967,1248.177819,27,1.693101518,0.436945421,25.71217118,10.16994864,6.798623839,1.067142015,0.79384243,10,1,2
1256,6.323705839,1.109330643,19.37995965,507.6030024,18.52777073,88.07561064,744.1482335,52,1.393108293,1.364231573,17.62697817,10.44659293,11.09825924,1.046814132,0.711332949,10,1,2
1257,6.132932923,1.031276307,19.15292553,517.1987692,19.88563076,91.06008612,243.3083077,57,1.497892922,1.929847383,31.66579077,10.22791262,6.82,1.691501537,0.699549539,12,1,2
1258,6.280909973,0.808944808,23.13918689,511.7793711,19.93826722,88.21122952,721.2584699,31,2.0125944,1.031819946,32.68748366,30.41315647,6.976050267,1.169022268,0.645663115,10,1,2
1259,6.072776881,1.170591586,19.49841989,520.6762745,20.5980119,94.72593287,238.9681258,48,1.667739056,2.112458139,30.45672929,8.466963878,6.7880119,1.867814705,0.644643434,12,1,2
1260,6.071172301,1.164058654,19.44031118,520.8975919,20.5909059,94.26518927,238.7389001,48,1.669458249,2.108561302,30.21386469,8.430746221,6.780905904,1.862886353,0.645674949,12,1,2
1261,6.053133762,0.648063669,12.98681656,509.475809,21.67400999,86.92584726,340,51,0.697464954,1.396267523,12.16518401,4.009158887,6.357172876,0.569859814,0.825388437,16,1,2
1262,6.416634018,0.992241137,17.62361706,512.5430644,18.22110774,90.47315767,747.8653607,57,1.270443096,1.771256999,21.51323463,10.46146144,12.70963387,1.017077114,0.694605877,10,1,2
1263,6.728025336,1.369266032,6.80571107,543.0005683,19.17440774,75.23844834,494.0760091,109,4.564940594,2.325923991,17.94336029,11.99177355,11.51844582,2.08438162,1.054456055,15,1,2
1264,6.711241662,1.193037451,15.6087483,512.1521747,16.91700353,102.7636744,443.7249859,119,1.292124084,2.376275014,23.66659327,10.81691634,19.83475649,0.506716225,0.752349915,11,1,2
1265,6.141387846,0.933765945,13.55558514,516.526808,21.3,90.33900961,628.9647413,93,3.890731472,1.142070517,13.40194675,13.37739308,6.2,1.963402106,0.891365343,14,1,2
1266,6.097636682,1.072974195,13.20756451,518.7481739,21.3,84.81045341,632.9421198,103,5.4438978,1.13411576,14.02838388,12.59981557,6.2,2.200056131,0.962958157,13,1,2
1267,6.51406336,0.813947917,23.78449494,515.2509766,15.66544734,72.73228401,156.3688838,115,9.222389433,2.217866973,28.58573595,20.41458887,7.073717699,0.589020069,0.676829989,17,1,2
1268,6.245394185,1.208003327,20.8600499,503.4399549,18.78619919,86.05516998,741.0157674,49,1.496479676,1.021226531,14.35198483,10.43406307,9.740335172,1.071873861,0.725429047,10,1,2
1269,6.721461916,1.101199325,16.18549754,516.5365371,17.63973125,101.7339374,437.1345209,130,0.995555897,2.437309582,26.52279174,10.17409706,18.49717601,0.432982186,0.73,12,1,2
1270,6.070629033,1.159309979,16.2046245,546.6113064,12.05791079,96.14178427,884.4223797,34,3.159146167,0.734563507,60.32405235,11.76275655,4.406656255,1.706469757,0.744239415,10,1,2
1271,6.382377633,0.192867101,19.64252011,506.0974814,15.5152478,99.87342015,180,108,1.209371122,0.89909077,30.51272922,45.40188204,8.857760246,0.651118346,0.661398698,12,1,2
1272,6.064221881,0.591556237,14.35563904,509.0331585,19.22155731,47.56347621,365.3312888,63,0.914869125,1.473328222,12.01790493,3.687750517,7.798243349,0.46,0.677996933,11,1,2
1273,6.141609562,0.933060484,13.55734879,516.5155509,21.3,90.36702649,628.9445853,93,3.882860545,1.142110829,13.39877218,13.38133358,6.2,1.962202823,0.891002535,14,1,2
1274,6.088967758,1.130082636,16.18456651,544.0255461,12.06077621,96.08447576,922.246001,33,3.006705511,0.703616908,56.72507748,11.59713494,4.655375219,1.639991877,0.749397182,10,1,2
1275,6.559411185,0.754529934,12.89253303,534.4236678,16.03393689,97.84117481,764.5882519,63,1.491708127,2.576939288,42.47261811,10.90229553,14.70087055,1.142530215,0.660647133,10,1,2
1276,6.068960419,0.582079162,13.19469733,508.3745018,22.28739113,30.12565787,393.7625143,40,1.189704305,1.544406286,13.33995692,4.066833525,7.504454018,0.46,0.720643772,11,1,2
1277,6.309141543,0.779180666,15.94375144,512.9810424,12.09517837,95.39643268,1376.354432,25,1.176510924,0.332073646,13.5159722,9.60869044,7.641482176,0.841861907,0.811321059,10,1,2
1278,6.452557617,0.494703821,22.65688964,510.3275883,16.66418346,83.9204716,168.0842635,111,5.423677574,1.514944193,30.22881795,30.65968839,7.255306084,0.430862443,0.703189593,16,1,2
1279,6.05005146,0.669639778,11.90801108,509.4110807,24.00114754,97.62143305,340,36,0.709794159,1.39010292,12.76006818,4.305059819,5.592762134,0.619176637,0.908610574,17,1,2
1280,6.59058501,1.21113172,25.18739186,521.3763525,14.4228815,58.81263146,141.7933314,119,13.9485123,3.092400118,26.54151472,7.668268282,6.847796636,0.785790027,0.644034996,18,1,2
1281,6.096036006,1.078067255,13.19483186,518.8294446,21.3,84.60818615,633.0876359,103,5.500721803,1.133824728,14.05130265,12.57136719,6.2,2.208714334,0.965577445,13,1,2
1282,6.075016334,1.245930937,17.39543631,506.6151797,19.56223986,107.1207652,485.4036396,20,11.53494629,0.872981802,29.43871203,18.17803551,5.186243586,1.046878207,0.607158189,13,1,2
1283,6.057966617,0.614233678,14.67831611,509.577299,18.02520383,70.15583746,340,74,0.67813353,1.405933235,11.23244283,3.545204725,7.555721127,0.492534121,0.694901329,13,1,2
1284,6.178940772,1.150432804,17.59205011,507.7583485,20.05658313,101.6717541,474.1685652,27,8.613826951,0.929157174,25.54294998,21.15533022,5.360387239,0.95980638,0.581879272,15,1,2
1285,6.168421704,0.847749125,13.77062719,515.1542253,21.3,93.75510618,626.5071179,87,2.931029523,1.146985764,13.01487106,13.85785846,6.2,1.817173512,0.847128121,14,1,2
1286,6.728253143,1.371658006,6.686226274,543.4192776,19.20504779,74.86484479,494.7594303,109,4.609362968,2.32524057,17.86567809,12.00772004,11.40556743,2.105795482,1.058556582,15,1,2
1287,6.251639075,1.031524833,14.81391035,545.4507029,13.76082002,96.96182593,773.3817407,47,2.683225868,1.574481558,58.32727852,11.65413883,8.435509736,1.569014425,0.700217833,10,1,2
1288,6.383696435,0.188910695,19.9656266,505.9629636,15.88978756,99.08213895,180,108,1.270036014,0.881946344,30.75275119,44.65412131,8.612463074,0.585178246,0.673267916,13,1,2
1289,6.006672692,1.308733202,17.26613753,505.8633996,19.23714578,110.7041886,492.7921414,16,13.45595677,0.836039293,32.00067504,16.22008252,5.071721808,1.104139096,0.623782318,11,1,2
1290,6.71027413,1.18287837,16.11621857,510.3738518,16.78687055,104.350426,440.8223914,119,1.103455442,2.379177609,23.99652151,10.74918913,20.31416835,0.415768264,0.734934348,11,1,2
1291,6.065231018,1.254922848,17.37692355,506.5075412,19.51569349,107.6338331,486.4615116,20,11.80999301,0.867692442,29.80552914,17.89769943,5.169846571,1.055076715,0.609538401,13,1,2
1292,6.612405931,0.883490367,11.09339554,555.0306869,20.41918592,63.77546658,608.8207405,91,2.84496218,2.164505193,29.39671641,9.310270355,10.54171189,0.936319987,0.669079997,16,1,2
1293,6.007085716,0.903134701,17.11946128,529.736963,20.30709388,75.86318415,229.5836737,48,1.738122447,1.952922453,20.51390229,6.984220445,6.497093885,1.666048985,0.686873468,12,1,2
1294,6.71626817,1.245815783,12.97234491,521.3908962,17.59306884,94.52020145,458.8045096,116,2.272293121,2.36119549,21.95255408,11.16877189,17.34412184,0.979207966,0.842827057,12,1,2
1295,6.269661824,0.888547092,22.80693388,509.9900502,19.74099199,87.69208418,724.7194388,34,1.923474452,1.009323648,29.10538087,26.72289841,7.405210408,1.152582666,0.661237474,10,1,2
1296,6.769347428,0.771986436,15.87424172,544.3879475,21.35684406,88.92456313,425.1631431,173,0.768099719,2.676737138,36.6864915,7.851649764,10.33868203,0.612552853,0.73,16,1,2
1297,6.061989806,1.126672781,19.10777368,522.1641204,20.55024057,91.62850137,237.4271151,48,1.679296637,2.086260957,28.82402846,8.223484187,6.740240568,1.834682975,0.651577982,12,1,2
1298,6.050223296,0.668436927,11.96815365,509.4146892,23.87141142,97.0251624,340,37,0.709106815,1.390446592,12.72690385,4.288563571,5.635377442,0.616427262,0.903971004,17,1,2
1299,6.069584135,0.580831729,13.04188681,508.2878052,22.69093565,27.83038146,397.5048128,37,1.225879857,1.553762032,13.5139738,4.116730838,7.465783601,0.46,0.726257219,11,1,2
1300,6.226804389,1.191845863,21.54099118,503.1724213,18.98933851,85.71404872,737.9063419,46,1.583911697,0.923608778,15.45693618,12.662363,9.04038639,1.089944876,0.720578538,10,1,2
1301,6.172600429,0.834453182,13.80386705,514.9420601,21.3,94.28314507,626.1272338,86,2.782684785,1.147745532,12.95503932,13.9321258,6.2,1.794570409,0.840290208,14,1,2
1302,6.386174605,1.050187133,11.66492731,542.6802426,20.75555618,68.06195486,620.7276524,102,4.889974298,1.765623645,23.95228094,10.03956871,8.883674405,1.579293229,0.829823307,14,1,2
1303,6.388814328,0.173557015,21.21951046,505.4409385,17.34326927,96.01140296,180,108,1.505459106,0.815413731,31.68420777,41.7522758,7.660534917,0.32928358,0.719328956,15,1,2
1304,6.195357151,1.135347483,17.62310812,507.9389287,20.13467185,100.8110034,472.3938215,28,8.152393591,0.938030892,24.92755761,21.6256373,5.387895767,0.946052117,0.577886098,16,1,2
1305,6.472943303,0.600515238,23.03062722,511.9594139,16.33315875,80.21221827,164.2012757,112,6.682736363,1.74792346,29.68422891,27.26401558,7.195119773,0.483282778,0.69445287,17,1,2
1306,6.477525014,0.828227488,13.4037367,537.3575324,15.42914903,97.60721432,766.9278568,59,1.80872459,2.31022433,46.69092573,11.10233175,13.03390206,1.256001053,0.671175355,10,1,2
1307,6.129316768,1.065776401,16.14043479,538.3363357,12.06708074,95.9583851,1005.465834,31,2.671304368,0.635527954,48.80658432,11.23273294,5.202608663,1.493726717,0.760745341,10,1,2
1308,6.23815759,0.892311341,16.02139014,522.9897798,12.08408712,95.61825753,1229.950029,27,1.766565034,0.451859067,27.44657297,10.24976427,6.678762314,1.099178736,0.791356822,10,1,2
1309,6.714278712,1.224926478,14.01581548,517.7342729,17.32548678,97.78291207,452.8361365,117,1.884348869,2.367163864,22.63095916,11.02950985,18.32989813,0.792198942,0.807016819,12,1,2
1310,6.06174013,0.596519739,14.96366806,509.3781219,17.61586436,56.69632019,350.4407823,75,0.770927562,1.436101956,11.32549638,3.489210431,7.952111916,0.46,0.655661173,11,1,2
1311,6.065137564,0.589724871,14.1312967,508.9058785,19.81400422,44.19376269,370.8253869,59,0.96797874,1.487063467,12.27338049,3.761005159,7.741471002,0.46,0.68623808,11,1,2
1312,6.065149498,0.589701003,14.12837288,508.9042197,19.8217255,44.14984569,370.8969907,59,0.96867091,1.487242477,12.27671007,3.761959876,7.740731096,0.46,0.686345486,11,1,2
1313,6.027161132,0.984870325,17.84647815,526.9679895,20.3959993,81.62769658,232.4515903,48,1.716613072,2.001677036,23.55245997,7.437351274,6.585999301,1.727709192,0.673967843,12,1,2
1314,6.715639821,1.239218119,13.30191394,520.2359908,17.50855591,95.55069373,456.9194627,116,2.149765074,2.363080537,22.16682107,11.12478746,17.65546875,0.920143164,0.831516776,12,1,2
1315,6.054103904,0.641272675,13.32636624,509.496182,20.94155282,83.5594547,340,55,0.693584386,1.398207807,11.97794662,3.91602526,6.597768079,0.554337543,0.799194604,15,1,2
1316,6.079086392,1.19628031,19.72691433,519.8060127,20.62595402,96.53766396,239.8694846,48,1.660978866,2.127781237,31.41171889,8.60937856,6.815954021,1.887193918,0.64058732,12,1,2
1317,5.960333155,0.712784988,15.42635068,536.185477,20.10004683,62.43852019,222.9047364,48,1.788214477,1.839380519,13.43756823,5.928948353,6.290046829,1.522451833,0.716928686,12,1,2
1318,6.062171475,0.59565705,14.85798868,509.318165,17.89494418,55.10897284,353.0288486,73,0.795945537,1.442572122,11.44584146,3.523717982,7.925368564,0.46,0.659543273,11,1,2
1319,6.224141939,0.670457466,14.21385634,512.325157,21.3,100.7961178,621.4416419,75,0.952961154,1.157116716,12.2170586,14.84815901,6.2,1.515777692,0.755949554,15,1,2
1320,6.051310876,0.660823867,12.34880664,509.4375284,23.05028852,93.25125984,340,42,0.704756495,1.392621752,12.51700091,4.184155892,5.905097279,0.599025982,0.874606345,17,1,2
1321,6.520470607,0.861407036,15.66110553,518.0630175,17.878447,93.15214165,752.0188243,62,1.133378799,2.226061257,25.85568077,10.4780753,14.51016032,0.983849406,0.675915291,10,1,2
1322,6.344987297,0.355474511,25.03193248,521.9725947,21.06208491,91.16864449,701.5423701,13,2.520283971,1.159974595,53.093647,51.43544793,4.531253886,1.262673742,0.556940665,11,1,2
1323,6.382209369,0.193371892,19.60129546,506.1146443,15.46746086,99.97437846,180,108,1.201630985,0.9012782,30.4821052,45.49728764,8.889057322,0.659531538,0.659884323,12,1,2
1324,6.257789552,1.077977168,17.74122348,508.6256851,20.4316476,97.53752079,465.6443728,32,6.397536916,0.971778136,22.58718625,23.41424122,5.492512222,0.893743889,0.562699839,17,1,2
1325,6.050581043,0.665932696,12.09336522,509.4222019,23.60131216,95.78377908,340,38,0.707675826,1.391162087,12.65785861,4.254219825,5.724098786,0.610703304,0.894311826,17,1,2
1326,6.024130151,0.972529901,17.73671333,527.3860484,20.38257638,80.75737198,232.018593,48,1.719860552,1.994316081,23.09369931,7.368937698,6.572576384,1.71839975,0.675916331,12,1,2
1327,6.709608763,0.811867228,10.84783049,560.3371942,20.27466066,61.93372871,603.704802,87,1.966299739,2.335889134,31.7359793,8.996919121,11.25410633,0.660059307,0.600014827,17,1,2
1328,6.527513103,0.883758487,24.03107356,516.3275965,15.44704914,70.28571174,153.807028,115,10.05307117,2.37157832,28.22643568,18.17424598,7.034008934,0.623605122,0.671065813,17,1,2
1329,6.287985163,0.537047292,17.37467016,509.9306955,17.70520864,74.24660886,252.9990727,86,1.023045437,1.343556101,32.00496754,14.90855212,6.82,1.110055638,0.873983309,12,1,2
1330,6.338815284,0.399153373,24.8496207,520.9907698,20.95383729,90.88378235,703.441451,15,2.471382637,1.147630569,51.12809822,49.41055288,4.766739923,1.253653108,0.565486529,11,1,2
1331,6.713245397,1.214076674,14.55778902,515.8350406,17.18650596,99.47754814,449.7361924,118,1.682852508,2.370263808,22.98331946,10.95717782,18.84190555,0.695067363,0.788417155,11,1,2
1332,6.273225943,0.863324094,22.91221248,510.5570193,19.80350116,87.85658199,723.6227867,33,1.951713242,1.016451886,30.24041576,27.89220367,7.269225552,1.157791763,0.65630254,10,1,2
1333,6.30967205,1.030301359,17.83937955,509.1963926,20.67844002,94.81719519,460.035454,35,4.939218042,0.99982273,20.64229368,24.90060469,5.579450463,0.850274769,0.550079772,18,1,2
1334,6.724331262,1.081472572,16.1668468,518.2054204,17.86246423,100.9663873,436.4171844,132,0.981926504,2.451656311,27.13181042,10.03493378,18.00831119,0.443742233,0.73,12,1,2
1335,5.957767282,1.353673309,17.17361378,505.3254401,19.00451464,113.2684182,498.0792128,13,14.83059532,0.809603936,33.83396703,14.81900862,4.989772202,1.145113899,0.635678229,10,1,2
1336,6.144316337,0.924448018,13.57887996,516.3781205,21.3,90.70906444,628.6985148,92,3.786770026,1.14260297,13.36001608,13.42944036,6.2,1.94756163,0.886573266,14,1,2
1337,6.071304903,1.164598533,19.44511327,520.8793023,20.59149314,94.30326499,238.7578433,48,1.669316175,2.108883336,30.23393496,8.433739238,6.781493142,1.863293631,0.645589705,12,1,2
1338,6.281544592,0.557576612,17.44853546,510.2325972,17.79577917,74.94500827,252.596537,85,1.042769686,1.36790951,31.9908788,14.71412738,6.82,1.134207779,0.866737666,12,1,2
1339,6.201188449,0.743491298,14.03127175,513.4905683,21.3,97.89563131,623.5283228,80,1.767810053,1.152943354,12.54571084,14.44021289,6.2,1.639935207,0.79350981,15,1,2
1340,6.053105576,0.648260968,12.97695161,509.4752171,21.69529011,87.02365122,340,50,0.697577696,1.396211152,12.17062383,4.011864702,6.350182853,0.570310784,0.826149447,16,1,2
1341,6.381686207,0.194941378,19.47312078,506.1680069,15.31888286,100.2882757,180,108,1.177565533,0.908079306,30.38688972,45.79392049,8.986365452,0.685689638,0.655175865,12,1,2
1342,6.711053702,1.191063875,15.70733312,511.8067049,16.89172297,103.0719281,443.1611071,119,1.255471959,2.376838893,23.7306875,10.80375916,19.92789048,0.489048021,0.748966642,11,1,2
1343,6.380433951,0.198698148,19.16631792,506.295737,14.963242,101.0396296,180,108,1.119961733,0.924358641,30.15897903,46.50394995,9.219285168,0.748302464,0.643905556,12,1,2
1344,6.063499288,0.593001424,14.53267442,509.133599,18.75403938,50.22261989,360.9957284,67,0.872958708,1.462489321,11.81630137,3.629943046,7.843044139,0.46,0.671493593,11,1,2
1345,6.573430414,0.794677678,14.66016517,520.8783608,17.70367963,94.51850469,754.1372166,64,1.063471853,2.458025214,28.07045992,10.48654887,15.42848338,0.966902267,0.666382525,10,1,2
1346,6.104514811,1.051089239,13.2622769,518.3989526,21.3,85.67959878,632.3168354,101,5.199724227,1.135366329,13.92990158,12.72205868,6.2,2.162851707,0.951703037,13,1,2
1347,6.144271052,0.995136022,19.02289137,516.6672944,19.72618833,89.8306078,244.0169408,60,1.463169903,1.886975085,31.69059293,10.57018238,6.82,1.648983555,0.712304934,12,1,2
1348,6.066196653,1.285960361,12.47329267,525.2119725,21.23131287,74.124695,637.5685972,117,7.782406572,1.201451993,16.25175892,11.07107658,6.538572837,2.48870425,1.057176062,12,1,2
1349,5.961928234,1.349849731,17.18148585,505.3712106,19.02430728,113.0502493,497.6293801,13,14.71363882,0.8118531,33.67798754,14.93821428,4.996744609,1.141627696,0.634666105,10,1,2
1350,6.519385243,0.841571025,23.8820628,515.6769807,15.57903009,71.7642081,155.3551917,115,9.551079083,2.278688496,28.44356564,19.52811516,7.058005472,0.602704912,0.674549181,17,1,2
1351,6.008535829,0.909038734,17.17197611,529.536951,20.31351582,76.27957385,229.7908328,48,1.736568754,1.956444157,20.73338731,7.016951577,6.503515816,1.670502904,0.685941253,12,1,2
1352,5.991762217,0.84074617,16.56453172,531.8505113,20.23923268,71.46315093,227.3946025,48,1.754540482,1.915708242,18.1945813,6.638347188,6.429232676,1.618983953,0.696724289,12,1,2
1353,6.283816947,0.819541741,15.97145021,516.5518105,12.0912214,95.47557204,1324.122453,26,1.38702163,0.374808902,18.4859242,9.8374032,7.29801734,0.933663568,0.804198516,10,1,2
1354,6.419158639,0.989060115,17.57590173,512.6772732,18.21277649,90.53829288,747.9663456,57,1.267110597,1.782314838,21.61881428,10.46186538,12.7534108,1.016269236,0.694151445,10,1,2
1355,6.191475224,0.966711361,16.07244897,529.5719934,12.076793,95.76413992,1133.66765,29,2.154612199,0.530635559,36.60798726,10.67136438,6.045632728,1.268402312,0.778227407,10,1,2
1356,6.77911189,0.704855755,15.81077271,550.0672031,22.11481047,86.31256939,422.7220275,182,0.721718522,2.725559451,38.75899868,7.378073328,8.675061717,0.649169588,0.73,17,1,2
